player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
10,Miroslav,Klose,Miroslav Klose,2015,398,miroslav-klose,Poland,Opole,Germany,1978-06-09 00:00:00,Centre-Forward,Attack,right,184.0,,ASBW Sport Marketing,https://img.a.transfermarkt.technology/portrait/header/10-1448468291.jpg?lm=1,https://www.transfermarkt.co.uk/miroslav-klose/profil/spieler/10,IT1,Società Sportiva Lazio S.p.A.,1000000.0,30000000.0
65,Dimitar,Berbatov,Dimitar Berbatov,2015,1091,dimitar-berbatov,Bulgaria,Blagoevgrad,Bulgaria,1981-01-30 00:00:00,Centre-Forward,Attack,,,,CSKA-AS-23 Ltd.,https://img.a.transfermarkt.technology/portrait/header/65-1683670068.jpg?lm=1,https://www.transfermarkt.co.uk/dimitar-berbatov/profil/spieler/65,GR1,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1000000.0,34500000.0
77,,Lúcio,Lúcio,2012,506,lucio,Brazil,Brasília,Brazil,1978-05-08 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/77-1458201664.jpg?lm=1,https://www.transfermarkt.co.uk/lucio/profil/spieler/77,IT1,Juventus Football Club,200000.0,24500000.0
132,Tomas,Rosicky,Tomas Rosicky,2015,11,tomas-rosicky,CSSR,Praha,Czech Republic,1980-10-04 00:00:00,Attacking Midfield,Midfield,both,179.0,,,https://img.a.transfermarkt.technology/portrait/header/132-1464947592.jpg?lm=1,https://www.transfermarkt.co.uk/tomas-rosicky/profil/spieler/132,GB1,Arsenal Football Club,350000.0,17500000.0
215,Roque,Santa Cruz,Roque Santa Cruz,2015,1084,roque-santa-cruz,Paraguay,Asunción,Paraguay,1981-08-16 00:00:00,Centre-Forward,Attack,right,193.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/215-1564992591.png?lm=1,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,ES1,Málaga CF,250000.0,12000000.0
264,Tamás,Hajnal,Tamás Hajnal,2012,79,tamas-hajnal,Hungary,Esztergom,Hungary,1981-03-15 00:00:00,Attacking Midfield,Midfield,both,167.0,,,https://img.a.transfermarkt.technology/portrait/header/s_264_79_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/tamas-hajnal/profil/spieler/264,L1,Verein für Bewegungsspiele Stuttgart 1893,100000.0,6500000.0
276,Sladan,Peric,Sladan Peric,2013,20100,sladan-peric,,,Denmark,1982-04-15 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/276-1637687071.jpg?lm=1,https://www.transfermarkt.co.uk/sladan-peric/profil/spieler/276,DK1,FC Vestsjaelland,200000.0,500000.0
411,Levan,Kobiashvili,Levan Kobiashvili,2013,44,levan-kobiashvili,UdSSR,Tiflis,Georgia,1977-07-10 00:00:00,Left Midfield,Midfield,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/411-1590417211.jpg?lm=1,https://www.transfermarkt.co.uk/levan-kobiashvili/profil/spieler/411,L1,Hertha BSC,400000.0,7500000.0
447,Oka,Nikolov,Oka Nikolov,2012,24,oka-nikolov,Germany,Erbach im Odenwald,North Macedonia,1974-05-25 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/447-1493298121.jpg?lm=1,https://www.transfermarkt.co.uk/oka-nikolov/profil/spieler/447,L1,Eintracht Frankfurt Fußball AG,350000.0,2000000.0
532,Claudio,Pizarro,Claudio Pizarro,2019,86,claudio-pizarro,Peru,Callao,Peru,1978-10-03 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/532-1535124277.jpg?lm=1,https://www.transfermarkt.co.uk/claudio-pizarro/profil/spieler/532,L1,Sportverein Werder Bremen von 1899,400000.0,12000000.0
