name	country	birth	position	foot	height	hmv
ștefan iovan	<null>	<null>	<null>	<null>	<null>	<null>
ștefan dobay	<null>	<null>	<null>	<null>	<null>	<null>
željko čajkovski	<null>	<null>	<null>	<null>	<null>	<null>
željko milinovič	<null>	<null>	<null>	<null>	<null>	<null>
žarko tomašević	<null>	<null>	<null>	<null>	<null>	<null>
žarko serafimovski	<null>	<null>	<null>	<null>	<null>	<null>
žarko odžakov	<null>	<null>	<null>	<null>	<null>	<null>
žan vipotnik	<null>	<null>	<null>	<null>	<null>	<null>
žan karničnik	<null>	<null>	<null>	<null>	<null>	<null>
štěpán vachoušek	<null>	<null>	<null>	<null>	<null>	<null>
ştefan sameş	<null>	<null>	<null>	<null>	<null>	<null>
łukasz teodorczyk	<null>	<null>	<null>	<null>	<null>	<null>
łukasz szukała	<null>	<null>	<null>	<null>	<null>	<null>
łukasz piszczek	<null>	<null>	<null>	<null>	<null>	<null>
łukasz garguła	<null>	<null>	<null>	<null>	<null>	<null>
ľudovít lancz	<null>	<null>	<null>	<null>	<null>	<null>
ľuboš hanzel	<null>	<null>	<null>	<null>	<null>	<null>
ľubomír šatka	<null>	<null>	<null>	<null>	<null>	<null>
ľubomír reiter	<null>	<null>	<null>	<null>	<null>	<null>
ľubomír moravčík	<null>	<null>	<null>	<null>	<null>	<null>
ľubomír michalík	<null>	<null>	<null>	<null>	<null>	<null>
ľubomír meszároš	<null>	<null>	<null>	<null>	<null>	<null>
ģirts karlsons	<null>	<null>	<null>	<null>	<null>	<null>
ēriks raisters	<null>	<null>	<null>	<null>	<null>	<null>
ēriks pētersons	<null>	<null>	<null>	<null>	<null>	<null>
ēriks pelcis	<null>	<null>	<null>	<null>	<null>	<null>
đỗ duy mạnh	<null>	<null>	<null>	<null>	<null>	<null>
đovani roso	<null>	<null>	<null>	<null>	<null>	<null>
đorđe vujadinović	<null>	<null>	<null>	<null>	<null>	<null>
đinh tiến thành	<null>	<null>	<null>	<null>	<null>	<null>
þórður þórðarson	<null>	<null>	<null>	<null>	<null>	<null>
þórður jónsson	<null>	<null>	<null>	<null>	<null>	<null>
þórður guðjónsson	<null>	<null>	<null>	<null>	<null>	<null>
þórir jóhann helgason	<null>	<null>	<null>	<null>	<null>	<null>
þorvaldur örlygsson	<null>	<null>	<null>	<null>	<null>	<null>
ünal karaman	<null>	<null>	<null>	<null>	<null>	<null>
ümit karan	<null>	<null>	<null>	<null>	<null>	<null>
ümit davala	<null>	<null>	<null>	<null>	<null>	<null>
øyvind leonhardsen	<null>	<null>	<null>	<null>	<null>	<null>
øssur hansen	<null>	<null>	<null>	<null>	<null>	<null>
örn óskarsson	<null>	<null>	<null>	<null>	<null>	<null>
örjan persson	<null>	<null>	<null>	<null>	<null>	<null>
örjan martinsson	<null>	<null>	<null>	<null>	<null>	<null>
óscar ulloa	<null>	<null>	<null>	<null>	<null>	<null>
óscar sonejee	<null>	<null>	<null>	<null>	<null>	<null>
óscar romero	<null>	<null>	<null>	<null>	<null>	<null>
óscar rolando hernández	<null>	<null>	<null>	<null>	<null>	<null>
óscar rojas	<null>	<null>	<null>	<null>	<null>	<null>
óscar reyes	<null>	<null>	<null>	<null>	<null>	<null>
óscar ramírez	<null>	<null>	<null>	<null>	<null>	<null>
óscar míguez	<null>	<null>	<null>	<null>	<null>	<null>
óscar gómez sánchez	<null>	<null>	<null>	<null>	<null>	<null>
óscar duarte	<null>	<null>	<null>	<null>	<null>	<null>
óscar carmelo sánchez	<null>	<null>	<null>	<null>	<null>	<null>
óscar cardozo	<null>	<null>	<null>	<null>	<null>	<null>
óscar alfaro	<null>	<null>	<null>	<null>	<null>	<null>
óscar aguilera	<null>	<null>	<null>	<null>	<null>	<null>
ítalo estupiñán	<null>	<null>	<null>	<null>	<null>	<null>
ísak bergmann jóhannesson	<null>	<null>	<null>	<null>	<null>	<null>
éverton ribeiro	<null>	<null>	<null>	<null>	<null>	<null>
éver banega	<null>	<null>	<null>	<null>	<null>	<null>
étienne n'tsunda	<null>	<null>	<null>	<null>	<null>	<null>
étienne capoue	<null>	<null>	<null>	<null>	<null>	<null>
érick sánchez	<null>	<null>	<null>	<null>	<null>	<null>
éric pécout	<null>	<null>	<null>	<null>	<null>	<null>
éric mouloungui	<null>	<null>	<null>	<null>	<null>	<null>
éric assadourian	<null>	<null>	<null>	<null>	<null>	<null>
émile veinante	<null>	<null>	<null>	<null>	<null>	<null>
émile mpenza	<null>	<null>	<null>	<null>	<null>	<null>
émerson ferreira da rosa	<null>	<null>	<null>	<null>	<null>	<null>
élmer ponciano	<null>	<null>	<null>	<null>	<null>	<null>
édouard kargu	<null>	<null>	<null>	<null>	<null>	<null>
édouard crut	<null>	<null>	<null>	<null>	<null>	<null>
édison méndez	<null>	<null>	<null>	<null>	<null>	<null>
édgar gonzález	<null>	<null>	<null>	<null>	<null>	<null>
édgar benítez	<null>	<null>	<null>	<null>	<null>	<null>
édgar barreto	<null>	<null>	<null>	<null>	<null>	<null>
éder militão	<null>	<null>	<null>	<null>	<null>	<null>
éder aleixo de assis	<null>	<null>	<null>	<null>	<null>	<null>
éder	<null>	<null>	<null>	<null>	<null>	<null>
çağlar söyüncü	<null>	<null>	<null>	<null>	<null>	<null>
åge hareide	<null>	<null>	<null>	<null>	<null>	<null>
änis ben-hatira	<null>	<null>	<null>	<null>	<null>	<null>
ásgeir sigurvinsson	<null>	<null>	<null>	<null>	<null>	<null>
árni sveinsson	<null>	<null>	<null>	<null>	<null>	<null>
ármann björnsson	<null>	<null>	<null>	<null>	<null>	<null>
ári jónsson	<null>	<null>	<null>	<null>	<null>	<null>
ángelo padilla	<null>	<null>	<null>	<null>	<null>	<null>
ángel tejeda	<null>	<null>	<null>	<null>	<null>	<null>
ángel sepúlveda	<null>	<null>	<null>	<null>	<null>	<null>
ángel romero	<null>	<null>	<null>	<null>	<null>	<null>
ángel romano	<null>	<null>	<null>	<null>	<null>	<null>
ángel reyna	<null>	<null>	<null>	<null>	<null>	<null>
ángel piedra	<null>	<null>	<null>	<null>	<null>	<null>
ángel mena	<null>	<null>	<null>	<null>	<null>	<null>
